MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,Mean MFCC,Std MFCC,Delta MFCC 1,Delta MFCC 2,Delta MFCC 3,Delta MFCC 4,Delta MFCC 5,Delta MFCC 6,Delta MFCC 7,Delta MFCC 8,Delta MFCC 9,Delta MFCC 10,Delta MFCC 11,Delta MFCC 12,Delta MFCC 13,Mean Delta MFCC,Std Delta MFCC,Delta Delta MFCC 1,Delta Delta MFCC 2,Delta Delta MFCC 3,Delta Delta MFCC 4,Delta Delta MFCC 5,Delta Delta MFCC 6,Delta Delta MFCC 7,Delta Delta MFCC 8,Delta Delta MFCC 9,Delta Delta MFCC 10,Delta Delta MFCC 11,Delta Delta MFCC 12,Delta Delta MFCC 13,Mean Delta Delta MFCC,Std Delta Delta MFCC,Mel Spectrogram 1,Mel Spectrogram 2,Mel Spectrogram 3,Mel Spectrogram 4,Mel Spectrogram 5,Mel Spectrogram 6,Mel Spectrogram 7,Mel Spectrogram 8,Mel Spectrogram 9,Mel Spectrogram 10,Mel Spectrogram 11,Mel Spectrogram 12,Mel Spectrogram 13,Mel Spectrogram 14,Mel Spectrogram 15,Mel Spectrogram 16,Mel Spectrogram 17,Mel Spectrogram 18,Mel Spectrogram 19,Mel Spectrogram 20,Mel Spectrogram 21,Mel Spectrogram 22,Mel Spectrogram 23,Mel Spectrogram 24,Mel Spectrogram 25,Mel Spectrogram 26,Mel Spectrogram 27,Mel Spectrogram 28,Mel Spectrogram 29,Mel Spectrogram 30,Mel Spectrogram 31,Mel Spectrogram 32,Mean Mel Spectrogram,Std Mel Spectrogram,Spectral Flux,Spectral Skewness,Spectral Slope,Spectral Entropy,Spectral Rolloff,Chromagram 1,Chromagram 2,Chromagram 3,Chromagram 4,Chromagram 5,Chromagram 6,Chromagram 7,Chromagram 8,Chromagram 9,Chromagram 10,Chromagram 11,Chromagram 12,Mean Chromagram,Std Chromagram,LPC 1,LPC 2,LPC 3,LPC 4,LPC 5,LPC 6,LPC 7,LPC 8,LPC 9,LPC 10,LPC 11,LPC 12,Mean LPC,Std LPC,ZCR,Total Energy,Mean Energy,Std Energy,Pitch,Intensity,HNR,RMS,Label
-6.9953,1.8895,-0.081841,0.90538,0.39493,0.0051548,-0.10628,-0.10136,-0.40559,0.11227,-0.0013062,-0.083622,0.33675,-0.31779,2.0915,-0.43253,0.056104,0.018593,0.091112,0.01083,-0.0014094,0.016854,-0.011748,-0.035195,-0.0084115,0.013625,-0.01257,0.015379,-0.02149,0.12758,-0.019491,-0.026961,0.0090293,0.010597,-0.0080968,-0.0022406,0.010652,-0.00078953,-0.0019615,-0.0059096,0.0046497,-0.0060302,-0.0060391,-0.0032763,0.011102,2.95E-07,7.88E-08,3.08E-06,3.73E-05,7.22E-05,5.56E-05,2.82E-05,6.44E-05,3.68E-05,5.86E-06,1.94E-06,3.62E-06,4.19E-06,2.50E-06,2.32E-06,5.67E-06,2.18E-06,1.53E-06,1.93E-06,1.37E-06,7.45E-07,2.42E-07,1.07E-07,3.52E-07,4.93E-07,2.33E-07,1.20E-07,1.38E-07,2.45E-07,3.31E-07,1.48E-07,5.63E-08,1.04E-05,2.02E-05,0.014281,4.7218,-7.79E-07,0.50159,2416.6,164.81,154.43,155.66,237.04,149.77,158.95,238.04,226.62,165.38,232.7,226.81,261.61,197.65,42.356,-1.4101,0.94186,-0.40851,0.25074,-0.2668,0.22283,-0.44517,0.46052,-0.20112,0.054095,-0.054949,0.12952,-0.060585,0.57646,0.15175,1561.1,45.914,35.755,294.04,101.66,12.269,0.13336,Angry
-8.06,2.0375,-0.63489,0.13142,0.083776,-0.021593,-0.062161,-0.31492,-0.20682,-0.0041487,-0.15004,-0.040599,0.1312,-0.54702,2.3424,-0.40302,0.066564,0.015031,0.0031548,0.0188,0.015129,0.0061407,-0.0019271,-0.0093109,-0.0088015,0.0025372,-0.0028733,0.0064903,-0.022468,0.11597,-0.026282,0.0030765,0.009043,0.0010478,0.001368,0.0040346,4.95E-05,-0.00075035,0.00061291,-0.00499,0.0024033,-7.93E-05,-0.00064121,-0.00085441,0.0082854,1.34E-08,1.23E-08,2.82E-07,4.80E-06,1.78E-05,5.72E-06,2.98E-06,1.32E-05,1.21E-05,8.04E-06,1.69E-05,1.69E-05,2.82E-05,1.75E-05,8.29E-06,3.99E-06,1.65E-06,6.68E-07,5.50E-07,4.31E-07,8.39E-07,7.14E-07,1.71E-07,3.02E-08,3.93E-08,3.75E-08,2.08E-08,3.07E-08,2.46E-08,2.21E-08,1.86E-08,8.16E-09,5.06E-06,7.43E-06,0.0069428,4.6857,-6.23E-07,0.52731,2353,117.91,130.63,133.27,127.85,110.05,132.22,168.23,129.4,123.77,161.43,170.67,173.7,139.93,22.228,-1.4607,0.85938,-0.40108,0.314,-0.38752,0.43704,-0.37184,0.34007,-0.3378,0.2647,-0.14056,0.10775,-0.064712,0.59482,0.14447,1515.2,27.549,35.861,312.55,96.238,13.197,0.091556,Angry
-7.6706,2.0008,-0.71424,0.63257,-0.02663,-0.18146,-0.072693,-0.12454,-0.36399,0.027054,-0.061929,-0.19045,0.067253,-0.51376,2.2463,-0.55928,0.12688,0.017542,0.087917,0.011939,-0.012678,0.015348,0.0030431,-0.032427,0.0014616,0.00083502,-0.025787,0.010791,-0.027263,0.16574,-0.056789,0.011045,0.019944,0.030235,0.0047096,-0.0031349,0.0050384,0.0057155,-0.0059776,-0.0008726,0.0016431,-0.0069186,-0.002085,0.00019635,0.020083,5.24E-08,3.79E-08,2.35E-07,3.21E-06,1.50E-05,1.43E-05,2.18E-06,1.05E-05,3.86E-05,1.82E-05,3.88E-05,2.55E-05,5.22E-06,7.06E-06,6.91E-06,4.82E-06,4.04E-06,2.20E-06,1.62E-06,1.38E-06,9.94E-07,2.13E-07,5.66E-08,4.80E-08,6.07E-08,3.26E-08,1.48E-08,3.40E-08,1.07E-08,1.69E-08,1.80E-08,8.04E-09,6.29E-06,1.05E-05,0.0084973,4.2583,-7.13E-07,0.53197,2196,138.13,162.28,153.84,141.65,138.98,179.74,204.19,126.65,129.26,172.64,172.86,172.31,157.71,23.575,-1.6826,1.2888,-0.65109,0.34026,-0.3349,0.32649,-0.45262,0.54462,-0.35431,0.19789,-0.11401,0.11454,-0.064746,0.73191,0.14299,1245,34.582,48.531,333.34,97.849,13.232,0.10006,Angry
-6.8889,2.2669,-0.50798,0.70099,-0.020637,0.14188,0.18472,-0.13929,-0.30131,0.022454,-0.074144,-0.1417,0.24979,-0.34671,2.0824,-0.53741,0.12073,0.014828,0.12508,0.0050689,0.0072425,0.051964,-0.018043,-0.022669,-0.0052469,-0.011809,-0.025524,0.020172,-0.021201,0.16285,-0.052619,-0.012737,0.022506,0.03292,0.0053234,0.0058358,0.01729,-0.0022654,0.00079069,0.0004675,-0.0038278,-0.0050696,0.0020838,0.00082291,0.020258,1.31E-07,1.60E-07,3.94E-06,3.29E-05,5.45E-05,4.11E-05,1.45E-05,1.79E-05,5.11E-05,1.59E-05,7.05E-06,4.60E-05,2.11E-05,7.79E-06,1.17E-05,6.00E-06,2.11E-06,1.18E-06,9.86E-07,1.14E-06,1.07E-06,5.15E-07,8.63E-08,8.13E-08,1.58E-07,9.98E-08,3.04E-08,1.52E-08,9.31E-09,1.49E-08,1.71E-08,1.09E-08,1.06E-05,1.65E-05,0.012631,4.2714,-1.02E-06,0.4944,1752.4,212.41,196.02,173.44,201.79,183.47,205.81,269.38,171.38,174.08,243.58,244.89,271.93,212.35,36.617,-1.6542,1.116,-0.43426,0.077954,-0.12247,0.26725,-0.46333,0.50027,-0.22605,0.020721,-0.022888,0.095347,-0.070474,0.65569,0.1024,1695.5,51.378,45.933,307.19,101.35,15.732,0.13694,Angry
-7.9043,1.8447,-0.73992,0.63881,-0.31014,-0.12302,0.06077,-0.26859,-0.37231,-0.098648,-0.31476,-0.50688,-0.078152,-0.62865,2.2803,-0.48527,0.085583,-0.0092457,0.073475,-0.006234,-0.020082,0.030729,-0.016081,-0.021513,-5.66E-05,-0.0023478,-0.012014,0.018124,-0.028071,0.14161,-0.04477,-0.0069149,0.014334,0.017972,0.008205,-0.0024593,0.0087576,0.0021434,-0.0031168,0.0019438,0.0073448,0.0031459,0.0044617,0.00084983,0.015338,1.54E-08,1.00E-08,1.14E-07,1.83E-06,1.73E-05,2.07E-05,6.26E-06,2.47E-06,4.11E-06,1.00E-05,1.61E-05,5.48E-06,8.83E-06,1.07E-05,5.15E-06,1.03E-05,1.78E-06,8.12E-07,9.40E-07,1.12E-06,6.95E-07,4.51E-07,6.94E-08,5.02E-08,8.25E-08,4.19E-08,1.60E-08,8.20E-09,4.14E-09,8.29E-09,8.58E-09,4.70E-09,3.92E-06,5.75E-06,0.0058556,3.2272,-6.00E-07,0.52075,2133.8,100.27,122,127.03,156.88,137.55,115.24,137.82,120.08,129.37,172.72,173.56,146.64,136.6,22.545,-1.6678,1.2526,-0.57272,0.23019,-0.34109,0.41091,-0.50208,0.5356,-0.31796,0.16927,-0.079767,0.089011,-0.066149,0.71652,0.12719,850.87,21.272,23.82,305.09,96.954,13.645,0.083822,Angry
-7.0462,1.3518,-0.29564,0.35735,-0.082463,0.3363,-0.4045,0.063999,-0.3504,0.35294,-0.2397,0.037217,0.22401,-0.43811,2.038,-0.70279,0.15659,-0.039361,-0.015832,-0.001944,0.03325,-0.021234,-0.0017257,-0.024286,0.031923,-0.013061,-0.011749,0.02175,-0.045267,0.20362,-0.054098,0.0059671,-0.0019849,-0.011225,-0.00062375,0.0022242,0.0067159,0.00019099,0.0017529,-0.001706,-0.0007862,-0.0071076,0.00038413,-0.0046382,0.0156,4.53E-08,1.07E-07,9.76E-07,6.97E-06,2.35E-05,2.26E-06,8.07E-06,3.57E-05,1.18E-05,5.26E-06,2.64E-05,1.58E-05,4.74E-06,1.01E-05,7.77E-06,3.40E-06,4.93E-06,1.62E-06,4.68E-07,9.80E-07,2.70E-06,9.00E-07,2.53E-07,3.40E-07,7.02E-07,9.40E-07,1.05E-06,4.43E-07,2.54E-07,1.68E-07,8.68E-08,2.04E-08,5.59E-06,8.61E-06,0.0072101,2.6825,-6.89E-07,0.60329,3208.7,181.99,217.23,201.44,225.22,162.04,188.11,240.63,221.33,198.79,215.7,222.4,217.52,207.7,21.935,-1.5266,1.8067,-1.7542,1.5277,-1.19,0.65896,-0.51038,0.45392,-0.31309,0.23836,-0.19944,0.16603,-0.053505,1.1083,0.17561,747.73,31.155,37.412,264.52,97.608,12.804,0.096933,Angry
-7.349,1.3553,-0.15822,0.27912,-0.11312,0.27912,-0.1436,0.16976,-0.21327,0.14646,-0.24283,0.032658,0.051112,-0.45435,2.1121,-0.56195,0.12888,-0.041811,-0.020001,0.0025377,0.019495,-0.016141,0.015916,-0.029735,0.020125,-0.023342,-0.010178,0.0090237,-0.039014,0.16271,-0.037567,0.019206,-0.0038473,-0.0042013,0.0025211,0.002024,-5.68E-05,0.003524,-0.0055805,0.0069039,-0.0020145,-0.0038457,0.0055042,-0.0013408,0.012715,6.80E-08,1.63E-07,2.69E-06,1.14E-05,9.84E-06,8.32E-06,9.01E-06,4.52E-06,9.63E-06,6.71E-06,1.35E-05,1.34E-05,7.19E-06,1.07E-05,6.85E-06,4.20E-06,2.55E-06,1.63E-06,1.44E-06,1.06E-06,1.35E-06,1.22E-06,5.05E-07,4.71E-07,8.04E-07,1.03E-06,7.12E-07,6.03E-07,3.56E-07,1.81E-07,8.75E-08,3.39E-08,4.13E-06,4.43E-06,0.0040297,3.5691,-6.31E-07,0.61273,3365,193.07,193.85,199.45,217.06,170.85,203.6,202.41,187.31,199.54,221.45,184.13,222.39,199.59,15.428,-1.417,1.519,-1.601,1.4893,-1.2362,0.86356,-0.62996,0.47652,-0.26386,0.23645,-0.16254,0.13327,-0.049374,1.0503,0.15252,699.52,24.121,26.135,257.4,96.141,11.98,0.085252,Angry
-6.6548,1.4989,-0.061657,0.41588,-0.15402,0.26361,-0.086582,0.23269,-0.33278,0.33322,-0.50854,-0.033339,0.11791,-0.38227,1.9464,-0.56474,0.1756,-0.03514,0.013997,-0.0085427,0.044162,-0.0078382,0.03424,-0.046946,0.049487,-0.063417,-0.0011011,0.013653,-0.030507,0.17108,0.027563,0.029148,-0.029546,-0.024153,-0.0069907,0.012717,-0.0067648,0.0035889,-0.0051395,0.015441,-0.010431,0.0067433,0.0036569,0.0012179,0.017673,1.83E-08,6.50E-08,9.09E-07,6.89E-06,2.38E-05,5.65E-06,3.33E-06,1.99E-05,1.19E-05,9.34E-06,5.06E-05,2.56E-05,1.78E-05,1.45E-05,1.68E-05,6.01E-06,1.80E-06,9.76E-07,5.89E-07,9.25E-07,1.70E-06,1.27E-06,3.15E-07,4.19E-07,7.51E-07,6.75E-07,1.01E-06,8.80E-07,2.36E-07,3.93E-08,2.78E-08,1.17E-08,7.02E-06,1.10E-05,0.008322,3.9945,-8.22E-07,0.56823,3047.8,214.15,228.41,244.08,237.48,196.84,208.57,280.67,215.85,219.65,238.73,262.93,258.25,233.8,24.729,-1.5481,1.7065,-2.0138,1.9539,-1.6672,1.1703,-0.81631,0.55139,-0.30286,0.25592,-0.17216,0.18995,-0.057714,1.2963,0.13449,1032.5,39.713,49.211,292.43,99.018,10.111,0.1112,Angry
-10.262,1.1644,-0.32278,0.31987,-0.32217,0.18636,-0.068772,0.060963,-0.16866,0.017748,-0.37331,-0.1634,-0.31509,-0.78822,2.8757,-0.94631,0.12218,0.011291,0.043497,-0.0040341,0.014289,0.02149,0.012547,-0.008792,0.00066316,-0.021535,-0.0066332,0.009346,-0.057847,0.26933,-0.12742,0.027727,0.010183,0.01326,0.00090638,0.0031984,0.01259,0.0037094,-0.0011249,0.003381,0.002812,0.0050619,0.017473,-0.0021724,0.038468,1.59E-08,1.33E-08,1.91E-07,1.25E-06,4.14E-06,8.08E-06,9.31E-07,2.70E-06,7.70E-06,1.26E-05,7.68E-06,2.37E-05,3.78E-05,1.73E-05,8.74E-06,8.43E-06,1.61E-06,9.16E-07,3.59E-07,5.32E-07,5.48E-07,9.10E-07,5.17E-07,2.94E-07,3.35E-07,4.10E-07,3.91E-07,2.50E-07,9.90E-08,1.90E-08,1.10E-08,5.16E-09,4.64E-06,8.28E-06,0.0061281,5.7695,-5.39E-07,0.52293,2820.7,151.24,139.99,125.18,159.8,143.56,154.35,144.1,123.63,118.49,171.69,175.26,171.08,148.2,19.331,-1.4286,1.3912,-1.475,1.4106,-1.3409,1.0901,-0.83743,0.63359,-0.39462,0.25118,-0.10045,0.11772,-0.056887,1.0632,0.1454,1091.4,28.72,48.916,328.45,90.052,9.5222,0.07891,Angry
-7.6597,1.1342,0.11112,0.39212,-0.27905,0.45553,-0.18643,0.088108,-0.23311,0.077393,-0.34457,0.036689,0.033736,-0.4903,2.1891,-0.30178,0.0097177,0.0062659,0.010813,0.008163,0.016141,-0.015278,0.0026531,-0.010694,-0.0097925,-0.014229,-0.0045748,0.0057215,-0.022837,0.084448,-0.031972,-0.013433,0.0054657,0.0019806,0.0073173,5.87E-05,-0.00083292,0.00038469,0.0014499,-0.0020499,0.0007513,-0.001233,0.006847,-0.0019435,0.010396,7.16E-08,1.47E-07,2.18E-06,6.87E-06,1.93E-05,1.73E-05,7.66E-06,1.21E-05,1.39E-05,8.95E-06,3.74E-05,2.00E-05,8.98E-06,1.42E-05,5.67E-06,4.36E-06,1.32E-06,5.56E-07,8.56E-07,9.40E-07,1.03E-06,1.14E-06,7.26E-07,7.68E-07,7.43E-07,5.97E-07,6.96E-07,5.19E-07,2.30E-07,1.98E-07,1.18E-07,4.38E-08,5.92E-06,8.46E-06,0.0081645,3.5945,-6.08E-07,0.58838,3258.8,178.59,194.03,200.9,207.05,168.41,190.03,210.05,184.2,187.27,209.87,206.4,205.88,195.22,13.663,-1.3203,1.5673,-1.5357,1.3844,-1.047,0.6566,-0.48709,0.35174,-0.27788,0.238,-0.12303,0.1614,-0.035962,0.97803,0.18642,1953.5,32.024,40.769,279.55,97.479,12.138,0.10133,Angry
