MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,Mean MFCC,Std MFCC,Delta MFCC 1,Delta MFCC 2,Delta MFCC 3,Delta MFCC 4,Delta MFCC 5,Delta MFCC 6,Delta MFCC 7,Delta MFCC 8,Delta MFCC 9,Delta MFCC 10,Delta MFCC 11,Delta MFCC 12,Delta MFCC 13,Mean Delta MFCC,Std Delta MFCC,Delta Delta MFCC 1,Delta Delta MFCC 2,Delta Delta MFCC 3,Delta Delta MFCC 4,Delta Delta MFCC 5,Delta Delta MFCC 6,Delta Delta MFCC 7,Delta Delta MFCC 8,Delta Delta MFCC 9,Delta Delta MFCC 10,Delta Delta MFCC 11,Delta Delta MFCC 12,Delta Delta MFCC 13,Mean Delta Delta MFCC,Std Delta Delta MFCC,Mel Spectrogram 1,Mel Spectrogram 2,Mel Spectrogram 3,Mel Spectrogram 4,Mel Spectrogram 5,Mel Spectrogram 6,Mel Spectrogram 7,Mel Spectrogram 8,Mel Spectrogram 9,Mel Spectrogram 10,Mel Spectrogram 11,Mel Spectrogram 12,Mel Spectrogram 13,Mel Spectrogram 14,Mel Spectrogram 15,Mel Spectrogram 16,Mel Spectrogram 17,Mel Spectrogram 18,Mel Spectrogram 19,Mel Spectrogram 20,Mel Spectrogram 21,Mel Spectrogram 22,Mel Spectrogram 23,Mel Spectrogram 24,Mel Spectrogram 25,Mel Spectrogram 26,Mel Spectrogram 27,Mel Spectrogram 28,Mel Spectrogram 29,Mel Spectrogram 30,Mel Spectrogram 31,Mel Spectrogram 32,Mean Mel Spectrogram,Std Mel Spectrogram,Spectral Flux,Spectral Skewness,Spectral Slope,Spectral Entropy,Spectral Rolloff,Chromagram 1,Chromagram 2,Chromagram 3,Chromagram 4,Chromagram 5,Chromagram 6,Chromagram 7,Chromagram 8,Chromagram 9,Chromagram 10,Chromagram 11,Chromagram 12,Mean Chromagram,Std Chromagram,LPC 1,LPC 2,LPC 3,LPC 4,LPC 5,LPC 6,LPC 7,LPC 8,LPC 9,LPC 10,LPC 11,LPC 12,Mean LPC,Std LPC,ZCR,Total Energy,Mean Energy,Std Energy,Pitch,Intensity,HNR,RMS,Label
-97.12,1.3176,0.18176,0.50807,0.099727,0.18177,0.16505,-0.20292,0.002517,-0.0030088,0.056643,0.0036223,-0.0069963,-7.2935,26.992,-0.40078,0.00050187,0.0016308,0.0011337,0.0015896,0.0019522,0.00098059,0.001814,0.0010437,0.0019267,0.0010206,-0.00049406,0.00054518,-0.02978,0.11147,-0.0058506,-0.0013704,-0.0003112,0.00052083,0.00024102,-0.00013075,0.00016606,0.00078514,0.00050998,0.00035635,0.00053814,-0.00010124,0.00030992,-0.0003336,0.0017448,8.61E-08,3.68E-07,3.95E-07,2.84E-07,3.94E-07,3.42E-07,2.52E-07,9.59E-08,9.95E-08,3.66E-08,2.52E-08,5.76E-09,7.26E-09,1.72E-08,9.88E-09,1.07E-08,6.79E-09,2.42E-09,3.49E-09,3.98E-09,2.83E-09,1.25E-09,6.86E-10,2.35E-10,2.38E-10,2.60E-10,1.71E-10,1.05E-10,3.44E-11,9.96E-12,4.37E-12,1.56E-12,7.66E-08,1.33E-07,0.00012006,4.5763,-1.90E-08,0.62304,10547,12.099,15.956,13.62,13.725,5.3848,4.7768,6.4135,4.9308,8.3179,8.6983,6.7044,11.449,9.3396,3.8877,-1.2341,1.129,-1.0534,0.83097,-0.60643,0.4502,-0.40025,0.32292,-0.28071,0.21315,-0.14624,0.029347,-0.062136,0.70922,0.069835,84.325,0.46847,1.09,198.19,0,25.023,0.0081017,Angry
-347.12,1.4959,0.11864,0.44347,-0.013795,0.20439,-0.15796,0.031897,-0.0071924,0.053992,-0.059853,0.093309,0.065333,-26.527,96.327,-0.33177,0.014302,0.0059673,0.0033192,0.0010154,0.0016187,0.0011516,0.0013269,-0.00097561,-0.0011658,-0.00063077,0.00011307,0.00080126,-0.023456,0.092729,0.00051557,0.00017771,0.00012419,-0.00029073,-0.00041075,-0.00029124,5.95E-05,0.00044916,0.00033349,0.00010306,3.03E-05,0.00027354,0.00018066,9.65E-05,0.00028363,3.91E-09,7.52E-08,2.57E-07,2.48E-07,1.15E-07,1.73E-07,8.67E-08,1.91E-07,1.67E-07,5.83E-08,1.60E-08,1.94E-08,4.51E-09,3.53E-09,5.15E-09,5.45E-09,2.53E-09,1.28E-09,1.27E-09,1.10E-09,8.80E-10,3.18E-10,1.83E-10,1.84E-10,1.19E-10,2.80E-10,2.45E-10,8.10E-11,3.47E-11,9.65E-12,3.57E-12,1.49E-12,4.50E-08,7.79E-08,0.0001036,4.7606,-1.34E-08,0.46279,7529.1,9.0382,10.42,8.0907,9.7195,3.563,3.5304,5.8347,4.2585,5.7056,7.8314,5.6833,7.0579,6.7278,2.3428,-1.1703,0.9792,-0.91084,0.71269,-0.46559,0.38924,-0.4017,0.33785,-0.30422,0.18929,-0.10649,0.017567,-0.061106,0.63281,0.061181,51.68,0.30222,0.84622,269.78,0,9.2184,0.0065179,Angry
-21.704,1.7307,0.25501,0.7388,0.28955,0.16868,-0.13263,-0.011474,-0.035342,-0.022232,-0.0063608,0.052909,-0.14597,-1.4479,6.1072,-0.28677,0.017751,0.0031601,0.0058978,0.0048954,0.0016021,-0.00088742,0.0012012,0.00062395,0.00026291,0.00013337,0.00050764,-0.00066654,-0.019407,0.080484,-0.006841,0.00040914,0.0015942,-0.00032939,-4.23E-05,-0.00095857,7.79E-06,-1.64E-05,-0.00022679,0.00023742,0.00035352,-0.0001144,0.000147,-0.0004446,0.0020049,1.23E-08,2.13E-08,2.28E-08,3.00E-08,2.24E-08,2.22E-08,1.77E-08,8.38E-09,3.64E-09,8.58E-10,7.37E-10,1.45E-09,2.32E-09,1.33E-09,7.86E-10,7.28E-10,4.27E-10,2.56E-10,3.26E-10,5.25E-10,2.84E-10,1.74E-10,1.37E-10,2.89E-10,1.62E-10,1.51E-10,1.13E-10,3.03E-11,1.26E-11,6.45E-12,2.51E-12,6.77E-13,5.37E-09,8.99E-09,8.04E-06,6.4079,-5.66E-09,0.59253,8276.6,3.8951,4.9819,4.5069,4.9574,1.9013,1.8136,2.5571,1.8855,2.6001,2.8309,2.1966,3.4222,3.1291,1.1946,-1.3704,1.1052,-1.0542,0.70988,-0.49836,0.50119,-0.38417,0.23874,-0.19782,0.13022,-0.075582,0.016098,-0.07327,0.70171,0.095855,6.285,0.03379,0.089036,179.5,53.655,10.68,0.0022638,Angry
-334.25,1.4186,0.1824,0.35081,0.017216,0.17678,-0.098481,-0.022925,0.062715,-0.026568,-0.046685,0.14061,-0.082785,-25.552,92.752,-0.34227,0.0147,0.0035969,0.0016963,0.0023094,0.0014651,0.00059856,0.0011879,0.00035845,-0.00030241,0.00021195,0.0012315,0.00096382,-0.024173,0.095654,-0.0033995,-0.00029327,-0.00057021,-0.000117,0.00016109,-0.00047448,-0.00034006,-0.00010245,-0.00022717,-0.0002479,0.00049889,0.00043011,0.00021922,-0.00034328,0.00097559,2.99E-10,7.86E-08,2.40E-07,2.85E-07,2.46E-07,1.75E-07,1.39E-07,1.66E-07,3.31E-07,1.36E-07,2.77E-08,3.49E-08,5.92E-09,1.75E-09,4.52E-09,6.15E-09,3.18E-09,2.50E-09,3.85E-09,2.97E-09,1.61E-09,1.35E-09,1.16E-09,8.79E-10,6.79E-10,3.72E-10,1.57E-10,1.18E-10,4.13E-11,1.02E-11,3.87E-12,1.32E-12,5.93E-08,9.85E-08,0.00012567,5.1614,-1.47E-08,0.4879,8202.3,9.9451,12.847,8.3259,9.537,4.4982,4.2577,6.1428,4.7646,7.9342,7.8634,5.3448,8.418,7.4899,2.5946,-1.124,0.89459,-0.73996,0.60191,-0.48186,0.42525,-0.38172,0.31232,-0.29416,0.1967,-0.10723,0.030159,-0.055664,0.58233,0.070625,72.544,0.42177,1.343,251.28,0,16.397,0.0073591,Angry
-21.199,1.8364,-0.29819,0.62589,-0.006188,-0.0069731,0.06285,-0.19691,-0.0044704,0.10977,-0.023309,0.03993,-0.066075,-1.4713,5.9525,-0.3401,0.0035559,5.25E-05,0.00056531,0.00068036,0.0020029,-0.0018319,-0.0024506,-0.00095336,0.00038038,-0.0010932,-0.00027045,0.00033118,-0.026087,0.094363,-0.0016483,-0.001739,-0.00072028,0.00034382,2.77E-05,0.00085518,0.00011629,0.00019665,0.00046408,0.00021584,-0.000145,0.00038884,0.00023748,-0.0001082,0.00079059,2.08E-08,1.93E-07,3.33E-07,2.71E-07,5.66E-07,4.85E-07,3.16E-07,2.27E-07,1.58E-07,4.96E-08,3.15E-08,7.24E-08,9.84E-08,4.98E-08,2.55E-08,2.34E-08,7.91E-09,2.37E-09,4.35E-09,5.52E-09,1.95E-09,1.11E-09,7.57E-10,1.66E-09,2.59E-09,1.61E-09,7.53E-10,3.28E-10,1.22E-10,5.98E-11,2.23E-11,5.02E-12,9.22E-08,1.51E-07,0.00018017,4.9681,-2.47E-08,0.49315,8438.7,15.902,19.353,15.371,16.945,8.9981,8.2711,11.576,6.989,9.6698,12.296,9.6733,13.966,12.418,3.885,-1.3014,1.0957,-1.0675,0.82282,-0.67681,0.60116,-0.48247,0.32564,-0.33872,0.17444,-0.11499,0.036235,-0.077159,0.73592,0.066838,119.34,0.66302,1.4041,275.5,58.117,12.943,0.010257,Angry
-66.354,1.3611,-0.039104,0.67022,-0.044436,0.061703,-0.12387,0.095491,0.11221,0.041822,0.12832,0.06331,0.099087,-4.9176,18.464,-0.33592,0.010766,0.0025761,0.0023778,0.0013509,0.0022015,0.0030349,0.0020833,0.00059899,0.0011977,-9.49E-05,-0.00018478,0.00086373,-0.02378,0.093826,-0.0012421,-3.07E-05,0.00038214,0.00026708,0.00011731,0.00036381,4.50E-05,0.00024442,-0.00027575,-0.00022599,9.38E-05,-0.00031294,-0.00047284,-8.05E-05,0.00044179,1.06E-10,1.62E-08,5.69E-08,5.37E-08,4.54E-08,4.15E-08,2.83E-08,5.12E-08,2.29E-08,1.37E-08,6.27E-09,4.66E-09,4.03E-09,4.45E-09,1.30E-09,1.04E-09,1.05E-09,1.17E-09,3.52E-10,3.90E-10,4.31E-10,4.09E-10,4.13E-10,3.19E-10,1.98E-10,1.51E-10,1.47E-10,5.43E-11,1.27E-11,3.41E-12,2.36E-12,9.60E-13,1.12E-08,1.83E-08,2.17E-05,5.8879,-7.32E-09,0.58334,9145.8,4.6014,6.0546,4.52,4.6437,2.6751,2.2612,3.2933,2.5011,3.6609,4.6561,3.154,4.6504,3.8893,1.1414,-1.3124,0.94597,-0.69437,0.43656,-0.2638,0.32926,-0.33595,0.26544,-0.27185,0.19854,-0.12793,0.03625,-0.066188,0.58229,0.084308,13.685,0.078202,0.17812,220.89,0,15.65,0.0035572,Angry
-102.52,1.4685,-0.055243,0.71076,0.019675,0.14855,-0.21276,-0.19312,0.18909,-0.21922,0.12014,0.07659,-0.052974,-7.7325,28.485,-0.29461,0.009993,0.0033165,0.0029707,0.0022866,0.0021571,0.0015637,0.00077518,0.0019806,0.0015655,0.00043367,-0.00086357,0.0010921,-0.020565,0.082381,-0.00027158,-0.00046798,-0.00052933,0.00019901,0.00025626,0.0003746,0.00026145,-0.00016008,-1.15E-05,-9.76E-05,-1.03E-05,-0.00031838,9.44E-05,-5.24E-05,0.00028823,7.35E-08,5.03E-07,2.97E-07,5.77E-07,8.76E-07,7.58E-07,5.33E-07,2.16E-07,1.24E-07,7.36E-08,5.49E-08,4.20E-08,4.59E-08,4.09E-08,1.76E-08,3.80E-08,4.49E-08,5.06E-09,6.16E-10,1.60E-09,1.05E-09,6.51E-10,4.43E-10,6.89E-10,1.10E-09,7.50E-10,2.80E-10,1.14E-10,5.43E-11,1.93E-11,4.45E-12,1.33E-12,1.35E-07,2.41E-07,0.00021707,12.367,-2.96E-08,0.4116,4665.6,20.773,20.753,15.638,22.637,8.6515,8.4361,10.291,7.8642,11.689,14.417,11.125,19.532,14.317,5.418,-1.467,1.4234,-1.4144,1.1137,-0.81395,0.68987,-0.60311,0.44283,-0.38954,0.21322,-0.076367,0.018596,-0.071899,0.91743,0.052527,169.2,0.90966,1.7455,273.8,0,15.294,0.012511,Angry
-21.69,1.855,0.19921,0.58465,0.032717,0.42672,-0.020327,0.11893,0.0084953,0.012557,-0.1236,0.055628,-0.0023569,-1.4263,6.1104,-0.35012,0.0086562,-0.00026238,0.0016846,0.0037684,0.00099232,-0.0011061,0.00071951,0.0032727,0.0016209,-0.0020426,-0.00024393,-0.00054837,-0.025662,0.097525,-0.0024967,-0.00046209,-0.0014142,-0.0003775,-7.63E-05,-0.00056308,-0.00081642,-0.00029958,0.00081979,0.00044126,-0.00032366,-0.0001316,-0.00034821,-0.00046526,0.0008147,1.43E-08,3.50E-07,6.80E-07,3.68E-07,4.70E-07,1.01E-07,1.65E-07,1.97E-07,2.19E-07,6.37E-08,1.56E-08,1.13E-08,6.84E-09,3.08E-09,5.74E-09,5.49E-09,2.25E-09,2.35E-09,1.22E-09,4.10E-10,3.15E-10,3.41E-10,2.60E-10,2.90E-10,9.58E-10,1.01E-09,5.25E-10,1.50E-10,5.34E-11,1.31E-11,4.73E-12,1.19E-12,8.40E-08,1.65E-07,0.00015294,8.4427,-1.67E-08,0.39148,4383.5,8.3885,13.968,12.444,12.772,3.9162,3.7602,5.6352,4.4071,7.0874,8.7314,6.6675,9.1208,8.0749,3.5134,-1.2237,0.97362,-1.001,0.70938,-0.52808,0.45336,-0.40376,0.23432,-0.26904,0.16949,-0.082321,-0.00094763,-0.080719,0.65245,0.058178,88.389,0.51389,1.1776,306.25,59.525,11.856,0.0086907,Angry
-36.764,1.7475,-0.046594,0.82761,0.42314,0.1392,-0.019913,-0.13745,0.11194,-0.043371,0.016465,0.055329,-0.039065,-2.5946,10.28,-0.33435,0.015822,0.00017805,0.005534,0.0035354,0.0022544,-0.0013348,0.00056051,0.0036176,-0.0002746,-0.0014128,-0.00086532,0.00031611,-0.023571,0.09349,0.0013331,0.00066552,-0.00023319,6.79E-05,-0.00019178,-9.59E-05,-0.0001614,0.00035232,0.0001772,-0.00031739,-0.00020952,-0.0002097,0.00016743,0.00010343,0.00046406,8.48E-09,1.06E-08,9.69E-09,1.31E-08,8.21E-09,4.84E-09,8.45E-10,1.00E-09,1.10E-09,2.78E-10,5.61E-10,5.63E-10,6.12E-10,1.43E-10,5.82E-10,2.26E-10,7.16E-11,3.35E-11,4.50E-11,3.13E-11,1.66E-11,1.38E-11,4.57E-12,7.88E-12,1.67E-11,8.80E-12,4.25E-12,2.13E-12,1.34E-12,4.55E-13,8.14E-14,3.06E-14,1.91E-09,3.72E-09,2.35E-06,6.4026,-3.07E-09,0.58874,9903.9,1.491,2.748,2.6854,2.8027,0.66622,0.79368,1.1514,0.78917,1.1049,1.1231,0.80357,1.3164,1.4563,0.81321,-1.0683,0.67393,-0.58972,0.28406,-0.15022,0.15669,-0.10047,0.041432,-0.0652,0.042481,-0.029042,-0.0099699,-0.067859,0.43006,0.05209,1.7386,0.010474,0.025337,157.54,0,36.914,0.0012832,Angry
-18.634,1.9879,0.039854,0.66898,-0.0029997,0.15156,-0.45285,-0.14293,-0.07252,-0.14898,-0.11464,0.085343,-0.24026,-1.2981,5.2446,-0.26075,0.017447,0.0038454,0.0013451,-0.0041844,0.0012138,-0.0049418,-0.0062023,-0.0023072,-0.0016235,-0.0025083,9.20E-05,-0.0066541,-0.020402,0.072479,-0.0037459,0.0010774,0.0006008,-0.00068835,-7.70E-05,0.00065263,-0.00032251,-0.00032241,0.00044295,0.00046711,1.42E-05,-0.00022834,0.00011589,-0.00015488,0.0011845,1.62E-08,4.96E-07,3.68E-07,7.31E-07,6.21E-07,2.53E-07,8.64E-08,6.59E-08,2.54E-08,1.63E-08,1.59E-08,1.46E-08,8.45E-09,3.78E-09,3.06E-09,2.61E-09,3.12E-09,1.42E-09,1.10E-09,1.39E-09,1.40E-09,5.63E-10,4.90E-10,2.66E-10,3.99E-10,6.24E-10,2.63E-10,8.53E-11,4.29E-11,1.40E-11,5.62E-12,1.76E-12,8.56E-08,1.92E-07,0.00012033,9.0649,-1.76E-08,0.5248,5606.4,11.067,15.149,11.662,14.963,4.3807,4.1642,6.6375,4.8119,6.2626,8.0074,5.3832,10.342,8.5692,3.9738,-1.6735,1.3317,-1.1628,0.84227,-0.42362,0.45658,-0.42539,0.32443,-0.31368,0.2062,-0.094198,0.014736,-0.076437,0.81961,0.10245,85.954,0.47489,1.014,213.63,64.883,13.345,0.0088782,Angry
