MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,Mean MFCC,Std MFCC,Delta MFCC 1,Delta MFCC 2,Delta MFCC 3,Delta MFCC 4,Delta MFCC 5,Delta MFCC 6,Delta MFCC 7,Delta MFCC 8,Delta MFCC 9,Delta MFCC 10,Delta MFCC 11,Delta MFCC 12,Delta MFCC 13,Mean Delta MFCC,Std Delta MFCC,Delta Delta MFCC 1,Delta Delta MFCC 2,Delta Delta MFCC 3,Delta Delta MFCC 4,Delta Delta MFCC 5,Delta Delta MFCC 6,Delta Delta MFCC 7,Delta Delta MFCC 8,Delta Delta MFCC 9,Delta Delta MFCC 10,Delta Delta MFCC 11,Delta Delta MFCC 12,Delta Delta MFCC 13,Mean Delta Delta MFCC,Std Delta Delta MFCC,Mel Spectrogram 1,Mel Spectrogram 2,Mel Spectrogram 3,Mel Spectrogram 4,Mel Spectrogram 5,Mel Spectrogram 6,Mel Spectrogram 7,Mel Spectrogram 8,Mel Spectrogram 9,Mel Spectrogram 10,Mel Spectrogram 11,Mel Spectrogram 12,Mel Spectrogram 13,Mel Spectrogram 14,Mel Spectrogram 15,Mel Spectrogram 16,Mel Spectrogram 17,Mel Spectrogram 18,Mel Spectrogram 19,Mel Spectrogram 20,Mel Spectrogram 21,Mel Spectrogram 22,Mel Spectrogram 23,Mel Spectrogram 24,Mel Spectrogram 25,Mel Spectrogram 26,Mel Spectrogram 27,Mel Spectrogram 28,Mel Spectrogram 29,Mel Spectrogram 30,Mel Spectrogram 31,Mel Spectrogram 32,Mean Mel Spectrogram,Std Mel Spectrogram,Spectral Flux,Spectral Skewness,Spectral Slope,Spectral Entropy,Spectral Rolloff,Chromagram 1,Chromagram 2,Chromagram 3,Chromagram 4,Chromagram 5,Chromagram 6,Chromagram 7,Chromagram 8,Chromagram 9,Chromagram 10,Chromagram 11,Chromagram 12,Mean Chromagram,Std Chromagram,LPC 1,LPC 2,LPC 3,LPC 4,LPC 5,LPC 6,LPC 7,LPC 8,LPC 9,LPC 10,LPC 11,LPC 12,Mean LPC,Std LPC,ZCR,Total Energy,Mean Energy,Std Energy,Pitch,Intensity,HNR,RMS,Label
-14.154,3.5066,0.62024,1.1634,0.53478,-0.44351,0.016502,0.097422,-0.23094,-0.045073,-0.095839,-0.163,0.025116,-0.70528,4.1683,-0.26025,0.023802,0.00031329,0.0041961,0.0017921,0.00066229,-0.00089313,0.0078864,0.00059995,-0.0040597,0.0038095,0.0015742,-0.0016083,-0.01709,0.073382,0.0086713,-0.0006666,-0.0056593,0.0015477,0.0016243,-0.0026804,-0.0015351,0.0010985,-0.0011898,-0.0012098,0.0018751,0.0010021,0.00055895,0.00026438,0.0032946,9.21E-06,2.92E-05,4.03E-05,0.00011342,9.32E-05,2.91E-05,5.99E-06,1.43E-06,5.39E-07,2.71E-07,3.23E-07,2.88E-07,1.96E-07,3.70E-07,1.66E-07,2.76E-08,3.34E-08,5.22E-08,6.10E-08,2.39E-08,2.65E-08,9.90E-09,9.74E-10,2.35E-10,6.65E-12,1.79E-13,9.40E-14,7.13E-14,5.15E-14,5.39E-14,3.07E-14,2.26E-14,1.01E-05,2.65E-05,0.018807,48.875,-2.12E-07,0.24406,823.51,17.787,35.52,46.384,38.536,27.514,56.816,87.874,151.01,164.83,155.24,77.778,17.976,73.106,54.966,-2.0258,1.2847,-0.20008,-0.11648,0.059086,-0.010048,-0.04296,0.060926,0.066288,-0.12368,0.015659,0.033581,-0.08323,0.72331,0.01455,8632.3,55.335,80.871,258.82,99.65,7.9136,0.12863,Angry
-13.29,3.6528,-0.013497,0.96551,0.37892,-0.45838,0.12207,0.22274,-0.24747,0.16354,-0.12701,-0.035125,0.13896,-0.6559,3.9353,-0.28455,0.035737,0.017163,0.0087062,-0.0016084,0.0037234,0.0073256,0.0017292,-0.0037951,-0.0031023,0.0026141,0.0023086,-0.0023623,-0.016624,0.08121,0.0085049,-0.00064578,0.00019017,-0.0016912,0.00085149,-0.00099484,-0.0014425,0.00087835,-0.001587,-0.0012383,-7.91E-05,-0.00044012,0.00053489,0.00021854,0.0026478,1.15E-05,3.23E-05,5.26E-05,6.28E-05,6.27E-05,4.48E-05,1.49E-05,7.17E-06,3.06E-06,1.66E-06,1.30E-06,1.19E-06,1.18E-06,1.10E-06,2.97E-07,2.57E-08,2.37E-09,6.54E-09,1.26E-08,7.37E-09,6.62E-09,2.28E-09,2.44E-10,5.82E-11,2.22E-12,4.39E-13,3.07E-13,2.24E-13,2.06E-13,3.13E-13,8.92E-14,3.99E-14,9.33E-06,1.91E-05,0.015806,51.595,-2.50E-07,0.26324,789.55,27.195,53.96,69.563,54.229,52.238,92.88,124.83,113.8,182.81,163.06,76.459,29.663,86.724,50.273,-2.0649,1.2591,0.0038238,-0.1966,-0.063117,0.047623,0.021313,-0.0054212,-0.0042914,-0.027195,-0.0021902,0.033102,-0.083226,0.72698,0.01281,7679.1,52.239,79.898,249.74,99.276,9.0227,0.125,Angry
-15.246,3.5304,0.51706,1.0697,0.22607,-0.25732,0.13757,0.14454,-0.15822,0.065456,-0.04507,-0.015663,0.0314,-0.76926,4.4612,-0.54238,0.049856,0.037107,0.010183,0.0036318,0.01264,-0.0032517,0.0035243,0.011322,-0.0033357,0.0088174,-0.00080224,-0.0012792,-0.031844,0.15421,0.0025382,-0.0030433,0.0029996,0.00030971,0.0013618,0.00088154,-0.00069529,0.002036,0.0029315,-0.00042143,0.0016438,-0.00078872,-0.00084242,0.00068547,0.0017971,4.37E-06,5.97E-05,4.49E-05,0.00012526,9.58E-05,7.11E-05,3.83E-05,2.12E-05,3.30E-06,1.84E-06,1.11E-06,8.77E-07,5.22E-07,1.24E-06,1.65E-06,1.60E-07,1.00E-08,2.42E-08,4.26E-08,1.51E-08,7.75E-09,3.48E-09,1.01E-09,1.52E-10,5.73E-12,1.74E-12,1.56E-12,1.24E-12,8.64E-13,5.23E-13,2.93E-13,2.35E-13,1.47E-05,3.14E-05,0.026196,93.169,-2.55E-07,0.20929,503.58,22.996,57.612,40.873,68.376,44.677,84.413,121.96,142.4,201.83,143.79,112.21,24.753,88.825,55.926,-1.8043,0.97051,-0.094639,-0.12972,0.0082778,0.042618,0.0035876,-0.013582,0.0011883,-0.01855,0.00018027,0.035714,-0.083222,0.61375,0.012765,7300.7,82.962,121.97,294.51,99.46,6.6093,0.14599,Angry
-13.956,3.5777,0.54563,0.82117,0.63438,-0.40881,-0.12178,0.054419,-0.22667,0.012009,-0.12888,-0.19265,0.097341,-0.71477,4.1089,-0.40534,0.041435,0.024234,0.024287,0.0081797,0.010262,0.007926,-0.0045648,0.006484,-0.0037586,-0.011167,-0.0018564,-0.007837,-0.023978,0.11555,-0.01978,0.0089779,0.0030782,0.0024529,0.00070627,0.0034799,0.0063297,-0.0020834,0.0026252,-0.0012524,-0.002012,0.0013194,-0.0053629,-0.00011701,0.0069952,4.85E-06,3.26E-05,4.07E-05,0.00020313,0.00022647,8.26E-05,1.23E-05,4.44E-06,1.46E-06,3.08E-06,8.51E-07,9.66E-07,5.15E-07,5.04E-07,2.08E-07,2.15E-08,6.28E-09,1.11E-08,1.04E-08,8.26E-09,1.74E-08,5.80E-09,6.91E-10,1.88E-10,2.21E-11,8.66E-12,6.10E-12,4.90E-12,4.75E-12,5.50E-12,1.95E-12,8.04E-13,1.92E-05,5.40E-05,0.03829,56.839,-2.49E-07,0.25983,977.16,22.427,63.678,43.897,69.235,38.001,75.076,131.37,178.63,190.97,147.44,86.486,22.707,89.161,59.035,-2.0212,1.2488,-0.10598,-0.14676,-0.020399,0.025737,-0.0063622,0.021655,0.041635,-0.055127,-0.023912,0.043657,-0.083187,0.71371,0.020241,11923,102.78,227.55,258.52,97.363,8.4405,0.14454,Angry
-13.692,3.2498,0.30788,1.0203,0.63574,-0.49869,0.057919,0.009045,-0.28089,0.035258,-0.23519,-0.15478,0.14973,-0.72273,4.0125,-0.31426,0.045436,0.0081161,0.0087835,0.0024678,0.0022997,0.00046347,0.0012093,0.002214,-0.00038899,0.0019341,-0.00090177,0.0012315,-0.018569,0.08968,0.0084206,-0.0030333,0.0026221,0.0015345,0.00053182,-0.0013689,-0.0026409,-0.00028277,-0.00072013,-0.00075208,9.78E-05,-0.0011581,0.001897,0.00039598,0.0029232,4.45E-06,2.67E-05,4.08E-05,0.00016581,0.0002264,6.75E-05,2.72E-05,1.28E-05,3.17E-06,1.38E-06,9.23E-07,1.24E-06,6.14E-07,6.22E-07,5.32E-07,3.58E-08,9.66E-09,2.30E-08,1.99E-08,1.08E-08,1.45E-08,4.44E-09,6.43E-10,2.93E-10,1.38E-11,3.56E-12,2.49E-12,2.00E-12,2.09E-12,2.08E-12,7.77E-13,3.51E-13,1.81E-05,4.95E-05,0.029183,34.075,-2.56E-07,0.25621,1010.9,25.635,57.332,53.99,71.132,47.364,81.8,133,185.31,200.48,145.37,73.368,25.58,91.697,59.807,-2.159,1.4344,-0.1212,-0.15696,-0.02327,0.015297,0.00066063,0.029541,0.038356,-0.081295,-0.019767,0.045082,-0.083181,0.77968,0.023272,12630,98.675,170.52,257.45,96.243,8.6499,0.14616,Angry
-13.743,3.331,0.44262,0.87916,0.48721,-0.38013,-0.03042,0.041159,-0.24904,0.089571,-0.10162,-0.12409,0.031631,-0.71735,4.0282,-0.27472,0.029728,-0.0036198,0.016635,0.011357,0.0037936,0.0053436,-0.0010183,0.0059539,-0.00073392,-0.0017736,-0.0053076,-0.0027573,-0.016701,0.078137,0.0034042,-0.00075218,-0.00033612,-0.0002111,0.00022931,0.00067708,0.00065742,-0.00078175,0.0012646,-0.00048515,0.00054885,-0.0012409,-0.00090472,0.0001592,0.0012258,5.81E-06,2.73E-05,2.35E-05,0.00011194,0.00010562,5.26E-05,1.56E-05,3.95E-06,1.36E-06,8.15E-07,3.95E-07,3.04E-07,2.29E-07,2.63E-07,1.56E-07,3.03E-08,3.78E-08,4.92E-08,3.56E-08,2.27E-08,2.23E-08,5.64E-09,5.99E-10,1.89E-10,4.56E-12,1.27E-13,6.49E-14,5.33E-14,3.76E-14,4.33E-14,2.63E-14,2.29E-14,1.09E-05,2.80E-05,0.019912,51.455,-2.24E-07,0.2428,965.34,19.215,45.02,44.111,49.564,42.346,63.735,115.3,148.01,145.74,145.57,93.149,20.889,77.721,49.463,-2.0776,1.4284,-0.23148,-0.22863,0.072565,0.051147,-0.047157,0.01745,0.066749,-0.075415,-0.018533,0.043839,-0.083227,0.76291,0.013895,9890.7,62.206,98.957,278.38,99.297,8.1699,0.12898,Angry
-13.608,3.5551,0.38341,0.87633,0.014786,-0.34933,0.16622,-0.052326,-0.14369,0.28585,-0.31905,0.045598,-0.042463,-0.70671,4.0061,-0.36597,0.038616,0.018635,0.011854,-0.0046793,-0.0013339,0.0036839,0.0013398,0.0038689,0.0018091,-0.0082093,-0.0032395,0.0023451,-0.023176,0.10371,0.0045012,-0.00011461,0.0013429,0.0015047,0.0014287,-0.00057709,0.0015525,0.00052193,-0.0017859,0.00065414,-0.0011744,-0.00023555,0.00075806,0.00064435,0.0015713,4.11E-06,4.41E-05,7.66E-05,0.00020692,0.00014301,0.00013093,0.00010521,2.18E-05,4.58E-06,5.57E-06,1.57E-06,2.05E-06,5.81E-07,7.17E-07,1.59E-06,4.35E-07,6.29E-09,2.35E-09,7.46E-09,8.13E-09,4.41E-09,1.23E-09,3.98E-10,9.08E-11,1.11E-11,5.73E-12,5.33E-12,3.63E-12,3.36E-12,2.66E-12,9.69E-13,4.76E-13,2.34E-05,5.15E-05,0.040993,68.848,-3.46E-07,0.21472,496.77,26.164,79.906,61.996,93.815,74.662,118.5,206.07,191.95,259.54,202.34,117.55,31.654,122.01,75.75,-1.981,1.0745,0.14391,-0.17998,-0.16001,0.027558,0.094804,0.023282,-0.038633,-0.043134,0.0071486,0.03346,-0.083178,0.6802,0.011729,15107,132.51,161.24,280.76,99.504,6.3928,0.18671,Angry
-13.913,3.1413,0.74224,0.81663,0.32708,-0.29812,-0.085847,0.060339,-0.11729,0.057527,-0.19175,-0.25428,0.030545,-0.74498,4.0597,-0.28409,0.050573,0.0033402,0.011323,0.0015136,0.0035953,0.00010961,-0.003176,0.0011763,-0.0037079,-0.001115,0.0010551,0.00044542,-0.016843,0.081528,0.004472,-0.00029757,-0.0015335,0.00085502,-0.001323,-0.0019751,-0.00065146,3.51E-06,0.00039649,0.00040942,0.00027562,3.77E-05,0.00058445,9.64E-05,0.0015777,1.26E-06,3.32E-05,3.29E-05,0.00038378,0.00032531,5.25E-05,2.29E-05,1.43E-05,1.43E-06,9.24E-07,7.56E-07,1.02E-06,3.31E-07,3.30E-07,3.85E-07,7.60E-08,3.92E-08,5.26E-08,4.51E-08,4.24E-08,8.08E-08,2.71E-08,2.27E-09,5.15E-10,3.83E-11,1.28E-11,8.62E-12,7.19E-12,6.49E-12,8.48E-12,2.62E-12,1.23E-12,2.72E-05,8.71E-05,0.043856,43.716,-2.51E-07,0.2464,1119.1,20.724,57.246,41.401,59.761,36.492,74.279,134.26,224,196.7,128.97,98.846,23.296,91.331,67.139,-2.1869,1.7052,-0.53825,-0.075226,0.080922,0.029879,-0.048628,0.015988,0.096849,-0.11703,0.014939,0.024038,-0.083182,0.84941,0.030018,21367,144.37,284.2,276.01,96.198,6.5603,0.16363,Angry
-14.311,3.753,0.58256,0.98389,0.66671,-0.38386,-0.042312,0.063586,-0.16628,0.18536,-0.18245,-0.11381,0.19248,-0.67475,4.2329,-0.2371,0.035921,0.0069604,0.0061727,0.0026873,0.00024828,-6.10E-05,0.00037733,-0.001248,0.00046793,-0.00041605,-0.00015427,0.002559,-0.014122,0.06771,0.0024054,-0.0015062,0.0012321,-0.00032407,-4.94E-06,0.00093419,-0.0022334,0.00054403,-0.0015555,-0.00039714,-0.00068482,-0.00094541,0.00031892,-0.00017053,0.0012747,7.80E-06,2.99E-05,3.77E-05,5.52E-05,4.62E-05,5.13E-05,2.56E-05,6.97E-06,1.33E-06,9.90E-07,6.99E-07,6.93E-07,3.66E-07,4.77E-07,2.68E-07,2.05E-08,2.05E-09,4.95E-09,8.79E-09,6.88E-09,1.22E-08,4.32E-09,2.57E-10,6.65E-11,2.11E-12,5.04E-13,3.68E-13,2.49E-13,2.01E-13,1.57E-13,7.82E-14,4.67E-14,8.30E-06,1.67E-05,0.012841,34.349,-1.95E-07,0.26392,920.67,16.884,46.691,40.287,47.203,31.896,75.061,107.61,100.66,164.73,116.56,65.867,18.04,69.29,45.178,-2.1268,1.4075,-0.12607,-0.19862,-0.012751,0.039158,0.011475,0.020356,0.019455,-0.060161,-0.0027374,0.030559,-0.083225,0.76775,0.016688,7789,45.285,78.307,234.31,94.64,7.8104,0.10168,Angry
-13.2,3.7018,0.68003,0.83273,0.41567,-0.39664,0.035338,-0.022217,-0.25112,0.12781,-0.15196,-0.18981,0.13458,-0.63722,3.9191,-0.21508,0.030274,0.01464,-0.0036249,-0.001508,0.0082963,0.001278,-0.0016405,0.001908,0.0029444,0.0039811,-0.00090095,-0.0031821,-0.012509,0.061566,0.0053964,0.00068434,0.0014361,0.0018446,0.0010124,-0.0016345,-0.0010074,0.0017086,-0.0017425,0.00047185,-0.00074946,-0.0011638,-0.001271,0.00038351,0.0019909,4.59E-06,4.22E-05,3.88E-05,0.00018976,0.00015394,9.74E-05,3.69E-05,1.09E-05,1.11E-06,1.37E-06,4.93E-07,8.98E-07,4.56E-07,3.90E-07,3.76E-07,3.93E-08,2.52E-08,2.09E-08,1.31E-08,1.58E-08,2.16E-08,3.53E-09,3.83E-10,8.99E-11,9.77E-12,4.36E-12,2.06E-12,1.73E-12,1.78E-12,1.87E-12,7.73E-13,3.29E-13,1.81E-05,4.53E-05,0.029209,33.616,-2.74E-07,0.28098,1025.3,23.523,57.886,57.62,61.433,43.06,84.671,142.48,208.9,196.62,158.05,126.86,23.152,98.688,65.614,-2.1386,1.4257,-0.18306,-0.14977,0.022731,0.0046738,-0.012536,0.039026,0.05268,-0.065649,-0.035847,0.042979,-0.083144,0.77412,0.023047,19174,97.332,134.84,239.61,98.056,9.0586,0.15703,Angry
