MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,Mean MFCC,Std MFCC,Delta MFCC 1,Delta MFCC 2,Delta MFCC 3,Delta MFCC 4,Delta MFCC 5,Delta MFCC 6,Delta MFCC 7,Delta MFCC 8,Delta MFCC 9,Delta MFCC 10,Delta MFCC 11,Delta MFCC 12,Delta MFCC 13,Mean Delta MFCC,Std Delta MFCC,Delta Delta MFCC 1,Delta Delta MFCC 2,Delta Delta MFCC 3,Delta Delta MFCC 4,Delta Delta MFCC 5,Delta Delta MFCC 6,Delta Delta MFCC 7,Delta Delta MFCC 8,Delta Delta MFCC 9,Delta Delta MFCC 10,Delta Delta MFCC 11,Delta Delta MFCC 12,Delta Delta MFCC 13,Mean Delta Delta MFCC,Std Delta Delta MFCC,Mel Spectrogram 1,Mel Spectrogram 2,Mel Spectrogram 3,Mel Spectrogram 4,Mel Spectrogram 5,Mel Spectrogram 6,Mel Spectrogram 7,Mel Spectrogram 8,Mel Spectrogram 9,Mel Spectrogram 10,Mel Spectrogram 11,Mel Spectrogram 12,Mel Spectrogram 13,Mel Spectrogram 14,Mel Spectrogram 15,Mel Spectrogram 16,Mel Spectrogram 17,Mel Spectrogram 18,Mel Spectrogram 19,Mel Spectrogram 20,Mel Spectrogram 21,Mel Spectrogram 22,Mel Spectrogram 23,Mel Spectrogram 24,Mel Spectrogram 25,Mel Spectrogram 26,Mel Spectrogram 27,Mel Spectrogram 28,Mel Spectrogram 29,Mel Spectrogram 30,Mel Spectrogram 31,Mel Spectrogram 32,Mean Mel Spectrogram,Std Mel Spectrogram,Spectral Flux,Spectral Skewness,Spectral Slope,Spectral Entropy,Spectral Rolloff,Chromagram 1,Chromagram 2,Chromagram 3,Chromagram 4,Chromagram 5,Chromagram 6,Chromagram 7,Chromagram 8,Chromagram 9,Chromagram 10,Chromagram 11,Chromagram 12,Mean Chromagram,Std Chromagram,LPC 1,LPC 2,LPC 3,LPC 4,LPC 5,LPC 6,LPC 7,LPC 8,LPC 9,LPC 10,LPC 11,LPC 12,Mean LPC,Std LPC,ZCR,Total Energy,Mean Energy,Std Energy,Pitch,Intensity,HNR,RMS,Label
-13.451,2.0644,-0.21736,0.02061,0.66554,-0.1808,-0.22396,-0.22254,-0.15052,0.069612,0.0038721,0.064884,0.1562,-0.87702,3.8284,-0.73093,0.13032,-0.094077,-0.041076,0.02907,-0.030656,-0.0058433,0.0095949,0.0052543,0.0076938,-0.0065805,-0.0034912,0.0046705,-0.05585,0.20883,0.095272,-0.0077782,-0.040622,-0.02529,-0.0055994,-0.0099277,8.27E-05,0.007695,-0.00059792,-0.0047157,-0.0082651,-0.003058,-0.001066,-0.00029771,0.031247,1.55E-08,1.50E-08,6.13E-07,7.00E-07,7.46E-08,1.91E-05,1.12E-05,6.44E-07,1.18E-06,1.28E-06,1.48E-06,2.41E-06,1.17E-06,5.92E-07,1.10E-07,4.62E-08,2.74E-08,2.12E-08,3.77E-09,1.41E-09,2.21E-09,2.46E-09,4.35E-09,6.53E-09,5.08E-09,4.63E-09,3.60E-09,1.92E-09,7.00E-10,6.38E-10,5.80E-10,9.65E-10,1.27E-06,3.82E-06,0.0027002,11.319,-1.37E-07,0.39066,2113.4,22.529,44.889,76.581,36.534,42.301,50.247,28.47,43.181,29.451,27.252,45.649,32.522,39.967,14.442,-1.3443,0.59786,-0.33212,0.25662,0.064671,0.099865,-0.26117,0.1037,-0.15058,-0.061675,0.10382,-0.0040626,-0.077281,0.46705,0.085233,235.92,6.7406,9.8619,258.25,87.938,12.298,0.041912,Angry
-15.208,2.6296,-0.1027,-0.30954,0.35233,0.22779,-0.062219,-0.013442,-0.14432,-0.071035,0.1374,0.069847,0.30092,-0.93796,4.3512,-0.78209,0.26546,-0.094753,-0.087139,0.018656,0.013853,-0.015105,-0.0055875,0.017422,-0.019996,0.033508,0.011352,0.0093243,-0.048854,0.23638,0.079825,0.032167,-0.03924,-0.027766,0.0051029,-0.0017183,-0.010978,-0.0051175,0.0067764,-0.004508,0.0080537,0.0024356,-0.0038264,0.0031698,0.028743,1.29E-08,1.14E-08,3.42E-07,4.53E-07,1.62E-08,4.35E-06,2.20E-06,1.79E-07,2.13E-07,9.50E-07,9.74E-07,3.11E-07,8.72E-08,6.33E-08,3.74E-08,5.32E-08,1.08E-08,8.91E-09,1.59E-09,6.05E-10,1.35E-09,1.18E-09,1.37E-09,2.31E-09,1.44E-09,1.50E-09,2.37E-09,3.01E-09,7.76E-10,2.27E-10,2.03E-10,1.63E-10,3.22E-07,8.58E-07,0.00061726,10.538,-7.45E-08,0.38923,2034.3,12.779,29.58,36.3,18.96,22.059,22.562,17.774,22.468,20.338,21.114,25.946,17.489,22.281,6.1285,-1.3206,0.5909,-0.56871,0.75307,-0.23392,-0.016458,-0.10637,0.030227,-0.11853,-0.03342,0.034733,0.032382,-0.079726,0.52155,0.088491,64.439,1.7416,2.0062,256.42,83.523,10.924,0.022535,Angry
-14.215,1.4459,0.035468,0.36591,0.44492,-0.049391,-0.091053,0.0040395,-0.24424,-0.13046,0.047489,0.16295,0.16639,-0.92744,4.015,-0.81706,0.027211,0.013144,0.066432,0.0015202,-0.0083166,0.02917,0.0048539,-0.015246,-0.024308,0.0010738,-0.013036,-0.004879,-0.05688,0.22964,0.080975,-0.025554,-0.0048787,0.0062787,-0.012355,-0.0052844,0.0093064,-0.0037332,-0.0062551,-0.0089422,-0.0033099,-0.0092859,-0.0063934,0.00081298,0.0255,1.32E-08,9.02E-09,3.62E-07,7.78E-07,2.50E-07,5.05E-06,1.16E-05,1.11E-06,1.83E-07,2.32E-07,3.81E-07,4.16E-07,2.15E-07,1.49E-07,4.77E-07,2.21E-07,3.32E-08,2.52E-08,6.26E-09,1.75E-09,3.51E-09,1.88E-09,5.74E-09,5.79E-09,3.63E-09,3.56E-09,7.15E-09,9.65E-09,3.77E-09,1.03E-09,4.49E-10,4.73E-10,6.73E-07,2.19E-06,0.0015911,8.6772,-8.87E-08,0.42017,3199.9,20.128,48.503,49.138,28.031,30.537,26.024,25.171,32.573,21.192,20.613,35.594,33.199,30.892,9.7871,-1.1303,0.59955,-0.59306,0.58083,-0.21759,0.068796,-0.13576,0.043963,-0.17656,-0.032117,0.0034016,0.071756,-0.076424,0.46377,0.12763,126.67,3.6191,5.846,267.6,85.202,12.01,0.029797,Angry
-13.67,2.0922,-0.12183,0.0175,0.62456,-0.060001,-0.17426,-0.20402,-0.11813,0.015185,0.052682,0.015537,0.30936,-0.86316,3.896,-0.73162,0.096771,-0.045722,-0.038434,0.014367,-0.013869,0.020282,-0.010291,0.01268,0.017411,0.00079209,-0.014741,0.0073846,-0.052691,0.20691,0.047857,-0.0044542,-0.012483,-0.015144,-0.0053238,-0.0014814,0.0059318,0.00058321,0.00087466,-0.00059296,-0.0029061,-0.0074597,-0.0026476,0.00021185,0.015365,1.88E-08,1.77E-08,8.08E-07,8.95E-07,6.01E-08,2.35E-05,1.43E-05,2.38E-07,6.31E-07,6.67E-07,5.62E-07,1.49E-06,6.44E-07,6.36E-07,2.80E-07,8.20E-08,2.55E-08,1.39E-08,2.30E-09,9.88E-10,3.45E-09,4.34E-09,4.52E-09,3.70E-09,3.99E-09,7.32E-09,8.87E-09,4.87E-09,1.29E-09,7.37E-10,7.08E-10,6.05E-10,1.40E-06,4.74E-06,0.0026804,11.855,-1.31E-07,0.39128,2713.8,22.306,50.406,81.817,36.452,37.885,40.183,28.056,40.531,33.61,25.25,42.943,30.145,39.132,15.624,-1.1656,0.51496,-0.2551,0.18029,0.027623,-0.015534,-0.22354,0.19839,-0.27635,0.094156,-0.060808,0.050836,-0.077553,0.40798,0.10813,264.45,7.1472,10.346,248.39,87.867,11.625,0.043215,Angry
-14.068,2.0151,0.36985,0.66898,0.65757,-0.17556,0.42991,-0.03731,-0.18962,-0.034153,-0.080971,0.18986,0.024609,-0.78688,4.0335,-0.82594,0.078347,0.083869,0.078246,0.02255,-0.026093,0.076882,-0.019392,-0.016341,0.018504,-0.021941,0.0090655,-0.002237,-0.041883,0.23933,0.10715,-0.031179,0.0079721,0.00041452,-0.012599,-0.013308,0.014579,-0.012986,-0.0086642,0.0043203,-0.0080902,-0.0026341,-0.0017416,0.003326,0.033242,2.13E-08,4.88E-08,1.09E-06,5.64E-06,3.98E-07,3.35E-06,6.74E-06,1.50E-07,2.24E-07,2.23E-07,2.28E-07,3.64E-07,1.37E-07,8.39E-08,1.25E-07,1.96E-07,3.47E-08,3.85E-08,9.12E-09,1.59E-09,1.26E-09,1.02E-09,1.66E-09,3.68E-09,3.15E-09,4.01E-09,4.41E-09,4.09E-09,1.71E-09,7.10E-10,2.56E-10,2.15E-10,5.98E-07,1.59E-06,0.0011923,12.868,-9.39E-08,0.34649,1874.9,15.596,40.058,39.312,34.832,44.137,26.389,24.772,33.672,17.36,18.23,29.578,28.793,29.394,9.3804,-1.354,0.70359,-0.63478,0.61418,-0.15638,0.056988,-0.19868,-0.033984,-0.1067,0.018529,0.15053,-0.017285,-0.079834,0.53386,0.078651,93.556,2.9236,3.6004,267.49,87.66,11.498,0.030729,Angry
-14.715,2.049,-0.027331,0.514,0.68542,-0.16542,-0.12464,0.020001,-0.34943,-0.083429,0.11401,0.18613,0.2576,-0.89533,4.1966,-0.67997,0.11967,-0.046536,0.060192,0.025213,-0.043952,-0.014605,0.0073949,-0.019439,-0.0095656,0.017728,0.012726,0.013632,-0.042886,0.19633,0.15807,-0.010839,-0.030991,-0.0028075,-0.0088542,-0.017918,-0.0082237,-0.0049132,-0.0093981,-0.0044382,0.0012716,-0.00027424,6.08E-05,0.0046726,0.046894,2.52E-08,1.42E-08,4.99E-07,6.38E-07,1.40E-07,8.44E-06,6.25E-06,1.46E-07,7.83E-08,1.60E-07,2.61E-07,8.40E-07,1.29E-07,1.30E-07,1.37E-07,7.96E-08,3.25E-08,1.24E-08,1.89E-09,8.09E-10,2.29E-09,1.76E-09,2.92E-09,4.03E-09,2.04E-09,2.15E-09,3.45E-09,4.14E-09,1.72E-09,4.68E-10,2.94E-10,2.87E-10,5.63E-07,1.81E-06,0.0012702,11.704,-8.53E-08,0.33985,2004.1,15.776,40.24,45.887,29.902,23.438,25.875,19.367,29.092,22.55,17.463,24.079,22.953,26.385,8.9145,-1.2785,0.61299,-0.58614,0.57606,-0.20701,0.084311,-0.19007,0.18742,-0.24875,0.019174,-0.0089226,0.089197,-0.079183,0.50469,0.071073,100.65,2.8758,3.4528,258.96,85.446,10.554,0.028365,Angry
-14.065,2.0282,-0.08963,0.37036,0.25348,-0.223,-0.054483,-0.0030383,-0.18205,0.0051874,0.034484,0.004502,0.14768,-0.90561,3.9957,-0.72019,0.1331,-0.02835,0.014747,-0.0029904,-0.036738,0.023819,0.00080275,-0.017486,0.011312,-0.002844,-0.006228,-0.0096472,-0.049284,0.20582,0.15788,-0.0091556,-0.024692,-0.019091,-0.020706,-0.018584,0.0020755,-0.0086813,-0.010838,-0.00090732,-0.0016375,-0.0040281,-0.0052879,0.0027958,0.047347,2.79E-08,3.25E-09,3.17E-07,2.38E-06,3.38E-07,3.96E-06,2.19E-05,3.27E-06,1.90E-06,7.56E-07,1.46E-06,4.39E-07,4.52E-07,2.39E-07,3.76E-07,1.39E-07,3.48E-08,2.51E-08,6.94E-09,2.06E-09,4.80E-09,2.69E-09,4.72E-09,4.77E-09,1.63E-09,2.83E-09,4.42E-09,5.48E-09,1.89E-09,3.27E-10,1.80E-10,2.19E-10,1.19E-06,3.91E-06,0.0024367,12.125,-1.31E-07,0.35446,1882.8,16.861,73.791,37.767,44.242,35.018,29.538,26.645,52.22,26.992,19.167,33.095,51.979,37.276,16.146,-1.4775,0.88576,-0.73386,0.67955,-0.18302,-0.1185,0.072,-0.039446,-0.10699,0.036901,-0.018966,0.05412,-0.079165,0.60024,0.075055,204.89,6.2089,7.2589,283.69,88.231,10.964,0.042257,Angry
-15.092,2.7647,0.35305,0.15192,0.40939,0.087966,0.13275,-0.098559,-0.2085,-0.077652,-0.11237,0.20229,0.12581,-0.87397,4.3394,-1.0489,0.19229,0.045313,-0.015526,-0.039267,0.010443,0.042328,-0.011247,-0.011429,0.0014926,-0.021941,0.022005,0.0021202,-0.064023,0.3015,-0.0039569,-0.027369,0.013026,-0.0035064,-0.037104,-0.010355,0.02337,-0.0034786,-0.0029485,0.0038982,-0.0055768,0.00062529,-0.0012602,-0.0042027,0.015319,1.13E-08,5.97E-08,8.87E-07,9.27E-07,1.92E-07,1.48E-05,6.78E-06,2.04E-07,1.44E-06,6.13E-07,4.76E-07,4.74E-07,4.01E-08,3.16E-08,4.80E-08,4.30E-08,4.29E-09,6.66E-09,1.40E-09,1.18E-09,1.46E-09,1.34E-09,1.68E-09,1.61E-09,1.55E-09,1.52E-09,3.07E-09,3.26E-09,1.76E-09,4.69E-10,1.37E-10,2.20E-10,8.45E-07,2.82E-06,0.001721,15.299,-1.01E-07,0.33594,1857.7,14.273,31.883,66.818,28.916,27.195,28.621,16.579,27.715,22.179,16.366,31.352,22.824,27.894,13.651,-1.3848,0.71497,-0.68146,0.78622,-0.29106,0.075976,-0.1627,0.029396,-0.087845,-0.019233,0.073874,-0.012171,-0.079901,0.56939,0.082576,124.8,4.1601,4.3631,253.29,87.434,9.6562,0.036548,Angry
-14.011,2.6493,0.81981,0.14836,0.044505,0.20168,0.22182,-0.11117,0.019746,-0.12407,0.071018,0.14534,0.1889,-0.74887,4.0507,-0.81577,0.23379,0.085961,-0.003565,-0.018825,0.0017998,0.05856,-0.020486,0.011214,-0.010794,-0.010084,0.011016,-0.0050793,-0.037098,0.24399,0.028253,0.025615,0.0050824,-0.0057291,0.00018269,-0.0049972,0.006193,-0.0054284,0.00036265,-0.0028197,-0.0033533,0.00097268,-0.0030205,0.0031779,0.011195,7.36E-08,1.20E-07,3.29E-06,2.55E-06,2.21E-06,3.07E-05,1.03E-05,2.66E-06,1.82E-06,9.88E-07,4.87E-07,7.58E-07,1.08E-07,7.03E-08,9.93E-08,1.46E-07,3.59E-08,2.30E-08,7.35E-09,6.15E-09,5.56E-09,3.24E-09,3.16E-09,3.77E-09,2.62E-09,5.40E-09,1.60E-08,1.24E-08,5.09E-09,1.56E-09,7.09E-10,3.94E-10,1.77E-06,5.63E-06,0.0035399,14.482,-1.42E-07,0.33178,1751.4,32.732,48.828,85.35,45.964,41.591,48.505,33.033,34.902,31.706,21.544,41.831,30.461,41.371,16.106,-1.3501,0.79264,-0.8876,0.86369,-0.29884,0.06584,-0.022018,-0.10321,0.08491,-0.16664,0.05817,-0.0007071,-0.080322,0.60682,0.08011,322.78,8.4941,10.12,235,90.469,11.936,0.049862,Angry
-14.185,1.9793,-0.10517,-0.12019,0.39673,0.063039,-0.093142,-0.17445,-0.40848,-0.12673,0.054413,0.12589,0.313,-0.9447,4.0214,-0.86259,0.18305,-0.027226,-0.039406,-0.00063503,0.0072257,-0.006616,-0.021189,-0.031912,-0.0097921,0.02333,-0.00061503,0.01982,-0.058965,0.24787,0.080145,0.0010651,-0.017959,-0.025153,-0.019718,-0.0079573,-0.0011077,-0.0099475,-0.014217,-0.0042036,0.0080585,0.00041537,0.0022224,-0.0006428,0.026167,2.72E-08,4.27E-09,3.06E-07,1.57E-06,7.19E-08,4.17E-06,1.38E-05,8.55E-07,3.83E-07,7.93E-07,2.27E-06,1.46E-06,3.95E-07,1.07E-07,1.58E-07,9.74E-08,2.93E-08,2.11E-08,3.60E-09,2.67E-09,3.47E-09,2.67E-09,6.42E-09,6.21E-09,3.40E-09,4.12E-09,6.57E-09,6.99E-09,2.52E-09,6.64E-10,3.55E-10,2.51E-10,8.29E-07,2.52E-06,0.0019017,10.607,-1.10E-07,0.36491,2160.7,19.423,55.991,40.312,36.492,31.246,28.143,29.421,43.651,32.586,28.558,33.439,34.708,34.497,9.183,-1.2497,0.57806,-0.62011,0.53016,-0.078907,0.018434,-0.032525,0.024279,-0.076722,-0.10175,0.01507,0.042991,-0.079229,0.47795,0.084466,158.89,4.5397,5.9832,295.55,86.467,19.187,0.034598,Angry
